Id,Sex,Age Category,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2014,2015,2016,Rank,Time,TotalRaces,LastRace
2,0,0.7692307692,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5854219949,0.6365876514,0,1
3,1,0.3076923077,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5820971867,0.6342276056,0,1
4,0,0.3846153846,0,0,0,0,0,0,0,0,0,0,0,1,1,0.3913043478,0.5689619269,0.0833333333,0
5,1,0.4615384615,0,0,0,0,1,0,0,1,1,0,1,0,1,0.6798465473,0.6894665602,0.3333333333,0.0833333333
7,0,0.4615384615,0,0,0,0,0,0,0,0,0,0,1,0,1,0.1540920716,0.4797487245,0.0833333333,0.0833333333
8,1,0.3076923077,0,0,0,0,0,0,0,0,0,0,0,0,1,0.2332480818,0.4981779058,0,1
9,0,0.6153846154,0,0,0,0,0,0,0,0,0,1,1,0,1,0.5353793691,0.6112402966,0.1666666667,0.0833333333
10,0,0.2307692308,0,0,0,0,0,0,0,0,0,0,0,0,1,0.494629156,0.5960156874,0,1
11,1,0.4615384615,0,0,0,0,0,0,0,0,0,0,1,0,1,0.6796675192,0.6773331482,0.0833333333,0.0833333333
12,1,0.1538461538,0,0,0,0,0,0,0,0,0,0,0,0,1,0.2439897698,0.5012667893,0,1
13,0,0.3076923077,0,0,0,0,0,0,0,0,0,0,0,0,1,0.005370844,0.3718113352,0,1
14,1,0.2307692308,0,0,0,0,0,0,0,0,0,0,0,0,1,0.2388746803,0.4994967549,0,1
15,0,0.4615384615,0,0,0,0,0,0,0,0,1,1,0,1,1,0.6347186701,0.6398934509,0.25,0
17,0,0.6153846154,0,0,0,0,0,0,0,0,0,0,0,0,1,0.2265984655,0.4967896436,0,1
20,1,0.3076923077,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0140664962,0.384097456,0,1
22,1,0.5384615385,0,0,0,0,0,0,0,0,1,0,0,0,1,0.3514066496,0.5278520112,0.0833333333,0.25
23,1,0.2307692308,0,0,0,0,0,0,0,0,0,0,0,1,1,0.3083120205,0.5304376497,0.0833333333,0
24,1,0.3076923077,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1411764706,0.4680526151,0,1
25,0,0.6153846154,0,0,0,0,0,0,0,0,0,0,0,0,1,0.2020460358,0.4891889078,0,1
27,1,0.4615384615,0,0,0,0,0,0,0,0,0,0,0,0,1,0.3329923274,0.5354180405,0,1
29,0,0.3076923077,0,0,0,0,0,0,0,0,0,0,0,0,1,0.6212276215,0.6591816194,0,1
30,0,0.5384615385,0,0,0,0,0,0,0,0,0,0,0,0,1,0.6769820972,0.6906951723,0,1
31,0,0.5384615385,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0875959079,0.4471419151,0.0833333333,0
34,0,0.5384615385,0,0,0,0,0,0,0,0,0,0,0,0,1,0.7066496164,0.7225904973,0,1
