,Id,Age Category,Sex,Rank,Time,Year
35511,2,"[60, 65)",M,2289,18342,2016
35512,3,"[30, 35)",F,2276,18274,2016
35513,4,"[35, 40)",M,2390,18810,2016
35514,5,"[40, 45)",F,2608,19714,2016
35516,7,"[40, 45)",M,384,12963,2016
35517,8,"[30, 35)",F,912,14354,2016
35518,9,"[50, 55)",M,2620,19788,2016
35519,10,"[25, 30)",M,1934,17173,2016
35520,11,"[40, 45)",F,2055,17507,2016
35521,12,"[20, 25)",F,954,14443,2016
35523,13,"[30, 35)",M,21,10713,2016
35524,14,"[25, 30)",F,934,14392,2016
35525,15,"[40, 45)",M,2332,18529,2016
35527,17,"[50, 55)",M,886,14314,2016
35530,20,"[30, 35)",F,55,11067,2016
35532,22,"[45, 50)",F,1150,14984,2016
35533,23,"[25, 30)",F,1478,15961,2016
35534,24,"[30, 35)",F,552,13486,2016
35535,25,"[50, 55)",M,790,14095,2016
35537,27,"[40, 45)",F,1302,15427,2016
35539,29,"[30, 35)",M,2429,18993,2016
35540,30,"[45, 50)",M,2647,19901,2016
35541,31,"[45, 50)",M,313,12657,2016
35544,34,"[45, 50)",M,2763,20820,2016
35545,35,"[45, 50)",M,326,12720,2016
35546,36,"[55, 60)",M,2537,19427,2016
35547,37,"[45, 50)",M,1062,14780,2016
35548,38,"[50, 55)",M,375,12930,2016
35549,39,"[40, 45)",M,1005,14583,2016
35550,40,"[45, 50)",M,266,12531,2016
35551,41,"[35, 40)",F,1605,16266,2016
35553,43,"[35, 40)",M,782,14082,2016
35554,44,"[40, 45)",M,1399,15746,2016
35556,46,"[40, 45)",M,478,13280,2016
35557,47,"[20, 25)",M,2697,20278,2016
35558,48,"[30, 35)",M,2049,17499,2016
35559,49,"[35, 40)",M,367,12888,2016
35562,52,"[40, 45)",M,221,12342,2016
35563,53,"[50, 55)",M,2629,19818,2016
35564,54,"[45, 50)",F,1954,17225,2016
35568,58,"[55, 60)",F,1388,15715,2016
35570,60,"[25, 30)",F,2205,17994,2016
35571,61,"[45, 50)",F,2933,22693,2016
35572,62,"[45, 50)",M,908,14345,2016
35573,63,"[40, 45)",F,1256,15282,2016
35574,64,"[45, 50)",M,103,11600,2016
35575,65,"[35, 40)",F,758,14029,2016
35577,67,"[45, 50)",M,1349,15565,2016
35580,70,"[55, 60)",M,1439,15867,2016
35582,72,"[40, 45)",M,2401,18882,2016
35583,73,"[40, 45)",M,1259,15294,2016
35586,76,"[35, 40)",M,942,14402,2016
35587,77,"[25, 30)",F,472,13258,2016
35588,78,"[40, 45)",F,2256,18199,2016
35589,79,"[50, 55)",M,1613,16291,2016
35592,82,"[40, 45)",M,2226,18085,2016
35593,83,"[35, 40)",M,238,12407,2016
35594,84,"[65, 70)",M,2743,20638,2016
35595,85,"[35, 40)",M,813,14151,2016
35597,87,"[20, 25)",M,2931,22658,2016
35599,89,"[35, 40)",M,1884,17040,2016
35600,90,"[25, 30)",M,28,10769,2016
35601,91,"[35, 40)",M,2327,18498,2016
35602,92,"[30, 35)",M,1567,16147,2016
35603,93,"[40, 45)",M,1877,17019,2016
35604,94,"[45, 50)",M,1990,17326,2016
35605,95,"[25, 30)",F,2921,22497,2016
35607,97,"[55, 60)",M,1842,16925,2016
35608,98,"[30, 35)",M,235,12401,2016
35609,99,"[30, 35)",M,1514,16033,2016
35610,100,"[35, 40)",F,1660,16430,2016
35611,101,"[30, 35)",F,2855,21699,2016
35612,102,"[45, 50)",M,1763,16711,2016
35613,103,"[35, 40)",M,1203,15134,2016
35614,104,"[30, 35)",M,1596,16237,2016
35615,105,"[50, 55)",M,876,14283,2016
35616,106,"[45, 50)",M,2469,19116,2016
35622,112,"[25, 30)",F,2141,17791,2016
35623,113,"[30, 35)",F,1315,15470,2016
35624,114,"[35, 40)",M,316,12667,2016
35625,115,"[55, 60)",M,1406,15769,2016
35626,116,"[25, 30)",F,1393,15726,2016
35629,119,"[30, 35)",M,284,12582,2016
35630,120,"[40, 45)",M,1899,17076,2016
35633,123,"[45, 50)",M,789,14094,2016
35634,124,"[30, 35)",F,849,14230,2016
35635,125,"[15, 20)",M,2348,18599,2016
35636,126,"[30, 35)",M,940,14399,2016
35638,128,"[45, 50)",F,1898,17073,2016
35640,130,"[50, 55)",M,1508,16020,2016
35641,131,"[55, 60)",F,2906,22184,2016
35642,132,"[35, 40)",F,2179,17916,2016
35644,134,"[35, 40)",M,762,14044,2016
35645,135,"[50, 55)",M,1227,15206,2016
35646,136,"[45, 50)",M,1558,16125,2016
35650,140,"[40, 45)",M,823,14169,2016
35651,141,"[30, 35)",F,2145,17808,2016
35652,142,"[35, 40)",M,192,12165,2016
35655,145,"[45, 50)",F,2068,17535,2016
35656,146,"[35, 40)",F,2365,18688,2016
35658,148,"[30, 35)",M,287,12593,2016
35659,149,"[20, 25)",F,2351,18601,2016
35663,153,"[30, 35)",M,2148,17822,2016
35667,157,"[35, 40)",M,107,11634,2016
35668,158,"[45, 50)",M,1208,15146,2016
35669,159,"[50, 55)",M,2134,17775,2016
35670,160,"[45, 50)",M,1018,14634,2016
35671,161,"[35, 40)",M,2408,18895,2016
