Id,Sex,Age Category,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2014,2015,2016,Rank,Time,TotalRaces,LastRace
1,0,0.307692307692,0,0,0,0,0,0,0,0,0,0,0,0,1,0.322770253003,0.505250643947,1,1
2,0,0.769230769231,0,0,0,0,0,0,0,0,0,0,0,0,1,0.584973166369,0.605706360214,1,1
3,1,0.307692307692,0,0,0,0,0,0,0,0,0,0,0,0,1,0.581650907232,0.603460801796,1,1
4,0,0.384615384615,0,0,0,0,0,0,0,0,0,0,0,1,1,0.391004344493,0.541361204676,2,1
5,1,0.461538461538,0,0,0,1,1,1,1,1,1,1,1,0,1,0.664196268847,0.653820751602,9,1
6,0,0.538461538462,0,0,0,0,0,0,0,0,0,0,0,0,1,0.471505238947,0.559507298065,1,1
7,0,0.461538461538,0,0,0,0,0,0,0,0,0,0,1,0,1,0.153973933044,0.456475794201,2,1
8,1,0.307692307692,0,0,0,0,0,0,0,0,0,0,0,0,1,0.233069256325,0.474010963609,1,1
9,0,0.615384615385,0,0,0,0,0,0,0,0,0,1,1,1,1,0.483069256325,0.565030381084,4,1
10,0,0.230769230769,0,0,0,0,0,0,0,0,0,0,0,0,1,0.49424993611,0.567102569183,1,1
11,1,0.461538461538,0,0,0,0,0,0,0,0,0,0,1,1,1,0.654825794361,0.646203465205,3,1
12,1,0.307692307692,0,0,0,0,0,0,0,0,0,0,0,0,1,0.197035522617,0.462618056932,1,1
13,0,0.307692307692,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00536672629696,0.353774519517,1,1
14,1,0.230769230769,0,0,0,0,0,0,0,0,0,0,0,0,1,0.238691541017,0.475265834489,1,1
15,0,0.461538461538,0,0,0,0,0,1,0,0,1,1,0,1,1,0.611244569384,0.606908394426,5,1
16,0,0.538461538462,0,0,0,0,0,0,1,1,1,1,0,1,1,0.307181190902,0.501865794862,6,1
17,0,0.615384615385,0,0,0,0,0,0,0,0,0,0,0,0,1,0.226424738053,0.472690046893,1,1
18,0,0.615384615385,0,0,0,0,0,0,0,0,0,0,0,1,1,0.493355481728,0.64328644079,2,1
19,1,0.230769230769,0,0,0,0,0,0,0,0,0,0,0,0,1,0.646562739586,0.640017171917,1,1
20,1,0.307692307692,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0140557117301,0.365464632455,1,1
21,0,0.461538461538,0,0,0,0,0,0,0,0,0,0,0,0,1,0.253769486328,0.480417409682,1,1
22,1,0.538461538462,0,0,0,0,0,0,0,0,1,0,0,0,1,0.351137234858,0.502245558418,2,1
23,1,0.230769230769,0,0,0,0,0,0,0,0,0,0,0,1,1,0.308075645285,0.504705765801,2,1
24,1,0.307692307692,0,0,0,0,0,0,0,0,0,0,0,0,1,0.141068234091,0.445347070867,1,1
25,0,0.615384615385,0,0,0,0,0,0,0,0,0,0,0,0,1,0.201891132124,0.465458027871,1,1
26,0,0.384615384615,0,0,0,0,0,0,0,0,0,0,0,0,1,0.426782519806,0.543127930784,1,1
27,1,0.461538461538,0,0,0,0,0,0,0,0,0,0,0,0,1,0.332737030411,0.509444554521,1,1
28,1,0.307692307692,0,0,0,0,0,0,0,0,0,0,0,0,1,0.633273703041,0.633016313321,1,1
29,0,0.307692307692,0,0,0,0,0,0,0,0,0,0,0,0,1,0.620751341682,0.62720427977,1,1
30,0,0.538461538462,0,0,0,0,0,0,0,0,0,0,0,0,1,0.676463071812,0.657189089228,1,1
31,0,0.538461538462,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0875287503194,0.425450762829,2,1
32,0,0.384615384615,0,0,0,0,0,0,0,0,1,0,0,0,1,0.598134423716,0.657585364243,2,1
33,1,0.307692307692,0,0,0,0,0,0,0,0,0,0,0,0,1,0.242524916944,0.47652070537,1,1
34,0,0.538461538462,0,0,0,0,0,0,0,0,0,0,0,0,1,0.706107845643,0.687537150783,1,1
35,0,0.538461538462,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0833120368004,0.420051515752,1,1
36,0,0.692307692308,0,0,0,0,0,0,0,0,0,0,0,0,1,0.648351648352,0.641536226141,1,1
37,0,0.538461538462,0,0,0,0,0,0,0,0,0,0,0,1,1,0.376948632763,0.5308929397,2,1
38,0,0.615384615385,0,0,0,0,0,0,0,0,0,0,0,0,1,0.09583439816,0.426986328512,1,1
39,0,0.461538461538,0,0,0,0,0,0,0,0,0,0,0,0,1,0.256836187069,0.481573211809,1,1
40,0,0.538461538462,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0679785330948,0.413810184268,1,1
41,1,0.384615384615,0,0,0,0,0,0,0,0,0,0,1,0,1,0.510989010989,0.571131365167,2,1
42,0,0.384615384615,0,0,0,0,0,0,0,0,0,0,0,0,1,0.046511627907,0.400567994188,1,1
43,0,0.384615384615,0,0,0,0,0,0,0,0,0,0,0,0,1,0.199846664963,0.465028729939,1,1
44,0,0.461538461538,0,0,0,0,0,0,0,0,0,0,0,0,1,0.357526194735,0.519978865333,1,1
45,0,0.538461538462,0,0,0,0,0,0,0,0,0,0,1,1,1,0.530794786609,0.5838561962,3,1
46,0,0.461538461538,0,0,0,0,0,0,0,0,0,0,1,0,1,0.338614873499,0.5119873192,2,1
47,0,0.153846153846,0,0,0,0,0,0,0,0,0,0,0,0,1,0.689240991567,0.669638729278,1,1
48,0,0.307692307692,0,0,0,0,0,0,0,0,0,0,0,0,1,0.523639151546,0.57786804042,1,1
49,0,0.384615384615,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0937899309992,0.42559936596,1,1
50,0,0.384615384615,0,0,0,0,0,0,0,0,0,0,0,1,1,0.163812931255,0.454312793078,2,1
51,0,0.692307692308,0,0,0,0,0,0,0,0,0,0,0,1,1,0.663812931255,0.680998613037,2,1
52,0,0.461538461538,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0564784053156,0.407568852784,1,1
53,0,0.615384615385,0,0,0,0,0,0,0,0,0,0,1,0,1,0.779836442627,0.709844131827,2,1
54,1,0.538461538462,0,0,0,0,0,0,0,0,0,0,0,0,1,0.499361104012,0.568819760914,1,1
55,0,0.461538461538,0,0,0,0,0,0,0,0,1,0,0,0,1,0.00536672629696,0.343586949343,2,1
56,0,0.461538461538,0,0,0,0,0,0,0,0,0,0,0,0,1,0.165857398416,0.453734892015,1,1
57,0,0.384615384615,0,0,0,0,0,0,0,0,0,1,0,0,1,0.406593406593,0.528630869824,2,1
58,1,0.692307692308,0,0,0,0,0,0,0,0,0,0,0,0,1,0.354715052389,0.518955154877,1,1
59,1,0.461538461538,0,0,0,0,0,0,0,0,0,0,0,0,1,0.304370048556,0.499141404134,1,1
60,1,0.230769230769,0,0,0,0,0,0,0,0,0,0,0,0,1,0.563506261181,0.594214384783,1,1
61,1,0.538461538462,0,0,0,0,0,0,0,0,0,0,0,0,1,0.749552772809,0.749389076019,1,1
62,0,0.538461538462,0,0,0,0,0,0,0,0,0,0,0,0,1,0.232047022745,0.473713757348,1,1
63,1,0.461538461538,0,0,0,0,1,0,0,1,1,1,0,0,1,0.448556095068,0.550075952711,5,1
64,0,0.538461538462,0,0,0,0,0,0,0,0,0,0,1,0,1,0.086250958344,0.422990555445,2,1
65,1,0.384615384615,0,0,0,0,0,0,0,0,0,0,0,0,1,0.193713263481,0.46327851529,1,1
66,1,0.461538461538,0,0,1,0,0,0,0,1,0,0,1,1,1,0.151341681574,0.460887656033,5,1
67,0,0.538461538462,0,0,0,0,0,0,0,0,0,0,1,1,1,0.47414600903,0.561334566189,3,1
68,0,0.538461538462,0,1,0,1,0,0,0,1,1,1,0,0,1,0.262714030156,0.488876780486,6,1
69,0,0.538461538462,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0143112701252,0.365530678291,1,1
70,0,0.692307692308,0,0,0,0,0,0,0,1,0,0,1,1,1,0.30468949655,0.509378508685,4,1
71,0,0.0769230769231,0,0,0,0,0,0,0,0,0,0,0,0,1,0.215180168669,0.469585892609,1,1
72,0,0.461538461538,0,0,0,0,0,0,0,0,0,0,0,0,1,0.613595706619,0.623538735883,1,1
73,0,0.461538461538,0,0,0,0,0,0,0,0,0,0,0,0,1,0.321748019422,0.505052506439,1,1
74,1,0.538461538462,0,0,0,0,0,0,0,0,1,0,0,1,1,0.487946162365,0.5542236312,3,1
75,1,0.153846153846,0,0,0,0,0,0,0,0,0,0,0,0,1,0.712752363915,0.69262268014,1,1
76,0,0.384615384615,0,0,0,0,0,0,0,0,0,0,0,0,1,0.240736008178,0.475596063668,1,1
77,1,0.230769230769,0,0,0,0,0,0,0,0,0,0,0,0,1,0.120623562484,0.437817845585,1,1
78,1,0.461538461538,0,0,0,0,0,0,0,0,0,0,0,0,1,0.57653973933,0.600984082954,1,1
79,0,0.615384615385,0,0,0,0,0,0,0,0,0,0,0,0,1,0.412215691285,0.537976355591,1,1
80,0,0.307692307692,0,0,0,0,0,0,0,0,0,0,0,0,1,0.585484283159,0.60577240605,1,1
81,0,0.615384615385,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0322003577818,0.389241133347,1,1
82,0,0.461538461538,0,0,0,0,0,0,0,0,0,0,0,0,1,0.568872987478,0.597219470312,1,1
83,0,0.384615384615,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0608228980322,0.409715342448,1,1
84,0,0.846153846154,0,0,0,0,0,0,0,0,0,0,0,0,1,0.700996677741,0.681526979724,1,1
85,0,0.384615384615,0,0,0,0,0,0,0,0,0,0,0,0,1,0.207768975211,0.467307311274,1,1
86,0,0.461538461538,0,0,0,0,0,0,0,0,0,0,0,0,1,0.447993866599,0.550789247738,1,1
87,0,0.153846153846,0,0,0,0,0,0,0,0,0,0,0,0,1,0.749041656018,0.748233273892,1,1
88,1,0.384615384615,0,0,0,0,0,0,0,0,0,0,0,0,1,0.299769997444,0.497358166568,1,1
89,0,0.384615384615,0,0,0,0,0,0,0,0,0,0,0,0,1,0.481472016356,0.562710521102,1,1
90,0,0.230769230769,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00715563506261,0.355623802919,1,1
91,0,0.384615384615,0,0,0,0,0,0,0,0,0,0,0,0,1,0.594684385382,0.610857935407,1,1
92,0,0.307692307692,0,1,0,0,0,0,0,0,0,0,0,0,1,0.406210069001,0.601776632983,2,1
93,0,0.461538461538,0,0,0,0,0,0,0,0,0,0,0,0,1,0.47968310759,0.562017039826,1,1
94,0,0.538461538462,0,0,0,0,0,0,1,1,1,1,1,1,1,0.364024679639,0.52159698831,7,1
95,1,0.230769230769,0,0,0,0,0,0,0,0,0,0,0,0,1,0.746486072067,0.742916584109,1,1
96,0,0.461538461538,0,0,0,0,0,0,0,0,0,0,0,0,1,0.000255558395093,0.287167294102,1,1
97,0,0.692307692308,0,0,0,0,0,0,0,0,0,0,0,0,1,0.470738563762,0.558912885543,1,1
98,0,0.307692307692,0,0,0,0,1,1,1,1,0,0,0,0,1,0.292614362382,0.51191466878,5,1
99,0,0.307692307692,0,0,0,0,0,0,0,0,0,0,0,0,1,0.386915410171,0.529456442771,1,1
100,1,0.384615384615,0,0,0,0,0,0,0,0,0,0,0,0,1,0.424226935855,0.54256654118,1,1
101,1,0.307692307692,0,0,0,0,0,0,0,0,0,0,0,0,1,0.729619217991,0.716564295621,1,1
102,0,0.538461538462,0,0,0,0,0,0,0,0,0,0,0,0,1,0.450549450549,0.551845981111,1,1
103,0,0.384615384615,0,0,0,0,0,0,0,0,0,0,0,0,1,0.307436749297,0.499768839575,1,1
104,0,0.307692307692,0,0,0,0,0,0,0,0,0,0,0,0,1,0.407871198569,0.536193118024,1,1
105,0,0.615384615385,0,0,0,0,0,0,0,0,0,0,1,1,1,0.190050259818,0.46847412104,3,1
106,0,0.538461538462,0,0,0,0,0,0,0,0,0,0,0,0,1,0.630973677485,0.631266098672,1,1
107,0,0.615384615385,0,0,0,0,0,0,0,0,0,1,0,0,1,0.647329414771,0.599134799551,2,1
108,0,0.307692307692,0,0,0,0,0,0,0,0,0,0,0,0,1,0.388704318937,0.530215969883,1,1
109,0,0.307692307692,0,0,0,0,0,0,0,0,0,0,0,0,1,0.153846153846,0.449904233538,1,1
110,0,0.461538461538,0,0,0,0,0,0,0,0,0,0,0,1,1,0.51929465883,0.582474737468,2,1
111,1,0.538461538462,0,0,0,0,0,0,0,0,0,0,0,0,1,0.706874520828,0.68790040288,1,1
